"","time","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","light_mode"
"365",15,"stationary_control",4,"6","red","flashing",1,"right","left","blonde","9","off"
"385",15,"stationary_light",2,"1","royalblue","flashing",1,"left","right","blonde","9","off"
"405",15,"stationary_control",4,"2","white","flashing",1,"right","left","blonde","9","off"
"1105",15.9,"stationary_light",2,"5","amber","continuous",2,"left","right","spotted","10","off"
"320",15.833,"stationary_light",2,"3","blue","continuous",2,"left","right","spotted","10","off"
"518",18.595,"stationary_control",4,"1","green","continuous",2,"left","right","spotted","10","off"
"615",92.266,"stationary_control_stop",8,"1","green","continuous",2,"left","right","spotted","10","off"
"1615",15.368,"stationary_control",4,"4","red","continuous",2,"right","left","spotted","10","off"
"2315",15.633,"stationary_control",4,"6","white","continuous",2,"right","left","spotted","10","off"
"306",15.233,"stationary_light",2,"5","blue","flashing",1,"right","left","spotted","10","off"
"3110",104.934,"stationary_light_stop",6,"5","blue","flashing",1,"right","left","spotted","10","off"
"396",86.533,"stationary_control",4,"2","green","flashing",2,"left","right","spotted","10","off"
"425",15,"stationary_light",2,"3","red","flashing",1,"right","left","spotted","10","off"
"445",15.467,"stationary_control",4,"4","royalblue","flashing",1,"left","right","spotted","10","off"
"1106",15,"stationary_control",4,"1","amber","continuous",1,"right","left","spotted","11","off"
"327",15,"stationary_light",2,"4","blue","continuous",1,"left","right","spotted","11","off"
"520",15,"stationary_light",2,"2","green","continuous",1,"left","right","spotted","11","off"
"717",15,"stationary_control",4,"3","red","continuous",1,"right","left","spotted","11","off"
"916",15,"stationary_light",2,"6","royalblue","continuous",1,"left","right","spotted","11","off"
"1116",15,"stationary_control",4,"5","white","continuous",1,"right","left","spotted","11","off"
"1316",15,"stationary_control",4,"2","amber","flashing",2,"right","left","spotted","11","off"
"1516",15,"stationary_control",4,"6","blue","flashing",2,"right","left","spotted","11","off"
"1716",15,"stationary_light",2,"3","green","flashing",2,"left","right","spotted","11","off"
"1916",15,"stationary_light",2,"1","red","flashing",2,"left","right","spotted","11","off"
"2116",15,"stationary_light",2,"3","royalblue","flashing",2,"left","right","spotted","11","off"
"2316",15,"stationary_control",4,"4","white","flashing",2,"right","left","spotted","11","off"
"1107",38.637,"stationary_light",2,"1","amber","continuous",1,"left","right","smalleye","12","off"
"2102",46.839,"stationary_light_stop",6,"1","amber","continuous",1,"left","right","smalleye","12","off"
"1217",15.402,"stationary_light",2,"6","blue","continuous",2,"right","left","smalleye","12","off"
"1317",63.47,"stationary_light_stop",6,"6","blue","continuous",2,"right","left","smalleye","12","off"
"1717",167.234,"stationary_control",4,"6","blue","continuous",2,"right","left","smalleye","12","off"
"2017",15.369,"stationary_light",2,"4","green","continuous",2,"right","left","smalleye","12","off"
"2217",15.367,"stationary_control",4,"3","red","continuous",1,"left","right","smalleye","12","off"
"2616",50.501,"stationary_control",4,"2","royalblue","continuous",2,"right","left","smalleye","12","off"
"2716",55.637,"stationary_control_stop",8,"2","royalblue","continuous",2,"right","left","smalleye","12","off"
"2912",159.802,"stationary_light",2,"2","royalblue","continuous",2,"right","left","smalleye","12","off"
"307",165.499,"stationary_light_stop",6,"2","royalblue","continuous",2,"right","left","smalleye","12","off"
"397",15.238,"stationary_control",4,"5","white","continuous",2,"left","right","smalleye","12","off"
"4111",15.301,"stationary_control",4,"6","amber","flashing",1,"right","left","smalleye","12","off"
"436",15.601,"stationary_light",2,"2","blue","flashing",1,"right","left","smalleye","12","off"
"456",15,"stationary_control",4,"1","green","flashing",1,"left","right","smalleye","12","off"
"476",38.566,"stationary_control_stop",8,"1","green","flashing",1,"left","right","smalleye","12","off"
"496",91.8,"stationary_control",4,"1","green","flashing",1,"left","right","smalleye","12","off"
"5110",15.399,"stationary_control",4,"3","red","flashing",1,"left","right","smalleye","12","off"
"533",15.466,"stationary_control",4,"5","royalblue","flashing",1,"left","right","smalleye","12","off"
"543",49.767,"stationary_control_stop",8,"5","royalblue","flashing",1,"left","right","smalleye","12","off"
"573",119.3,"stationary_light",2,"5","royalblue","flashing",1,"left","right","smalleye","12","off"
"593",15.537,"stationary_light",2,"4","white","flashing",1,"right","left","smalleye","12","off"
"1108",15.97,"stationary_light",2,"5","amber","continuous",1,"right","left","smalleye","13","off"
"330",15.167,"stationary_control",4,"4","blue","continuous",2,"left","right","smalleye","13","off"
"618",48.935,"stationary_control",4,"3","green","continuous",1,"right","left","smalleye","13","off"
"719",146.766,"stationary_control_stop",8,"3","green","continuous",1,"right","left","smalleye","13","off"
"817",237.638,"stationary_control",4,"3","green","continuous",1,"right","left","smalleye","13","off"
"918",264.734,"stationary_control_stop",8,"3","green","continuous",1,"right","left","smalleye","13","off"
"1018",287.902,"stationary_control",4,"3","green","continuous",1,"right","left","smalleye","13","off"
"1718",152.219,"stationary_light",2,"1","red","continuous",1,"right","left","smalleye","13","off"
"2418",15.335,"stationary_control",4,"6","royalblue","continuous",1,"left","right","smalleye","13","off"
"2617",38.667,"stationary_control",4,"2","white","continuous",1,"left","right","smalleye","13","off"
"2717",47.835,"stationary_control_stop",8,"2","white","continuous",1,"left","right","smalleye","13","off"
"308",178.854,"stationary_control",4,"2","white","continuous",1,"left","right","smalleye","13","off"
"3112",254.4,"stationary_control_stop",8,"2","white","continuous",1,"left","right","smalleye","13","off"
"4112",15.333,"stationary_light",2,"6","blue","flashing",2,"right","left","smalleye","13","off"
"437",29.688,"stationary_control",4,"2","green","flashing",2,"left","right","smalleye","13","off"
"497",166.617,"stationary_light",2,"1","red","flashing",2,"right","left","smalleye","13","off"
"507",191.603,"stationary_light_stop",6,"1","red","flashing",2,"right","left","smalleye","13","off"
"632",15.366,"stationary_control",4,"4","royalblue","flashing",2,"left","right","smalleye","13","off"
"652",15.499,"stationary_light",2,"3","white","flashing",2,"right","left","smalleye","13","off"
"2319",113.51,"stationary_light",2,"4","red","continuous",1,"right","left","blonde","14","off"
"2419",189.807,"stationary_light_stop",6,"4","red","continuous",1,"right","left","blonde","14","off"
