"","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","light_mode","control_light","sum(total2)","LightFact","TypeFact","total_new"
"162","END",0,"5","red","continuous","2","right","left","blonde","15","on","control",300,"red","continuous",300
"163","END",0,"3","amber","continuous","1","left","right","blonde","16","on","control",300,"amber","continuous",300
"164","END",0,"3","royalblue","flashing","1","right","left","blonde","19","on","control",300,"royalblue","flashing",300
"165","END",0,"3","blue","flashing","2","left","right","blonde","20","on","control",202.352,"blue","flashing",202.352
"166","END",0,"1","red","flashing","2","left","right","blonde","20","on","control",300,"red","flashing",300
"167","END",0,"4","white","flashing","2","left","right","blonde","20","on","control",300,"white","flashing",300
"168","END",0,"5","green","flashing","1","right","left","spotted","21","on","control",300,"green","flashing",300
"169","END",0,"1","royalblue","flashing","1","right","left","spotted","21","on","control",300,"royalblue","flashing",300
"170","END",0,"4","amber","continuous","2","left","right","spotted","23","on","control",300,"amber","continuous",300
"171","END",0,"5","amber","flashing","1","left","right","blonde","24","on","control",300,"amber","flashing",300
"172","END",0,"1","blue","continuous","2","left","right","blonde","24","on","control",78.708,"blue","continuous",78.708
"173","END",0,"3","white","continuous","2","left","right","blonde","24","on","control",50.679,"white","continuous",50.679
"174","END",0,"3","white","flashing","1","left","right","blonde","24","on","control",300,"white","flashing",300
"175","END",0,"1","amber","continuous","1","right","left","blonde","25","on","control",101.645,"amber","continuous",101.645
"176","stationary_control_stop",7,"6","amber","continuous","2","left","right","spotted","1","on","control",168.405,"amber","continuous",168.405
"177","stationary_control_stop",7,"2","green","flashing","2","right","left","spotted","1","on","control",251.635,"green","flashing",251.635
"178","stationary_control_stop",7,"4","red","flashing","1","right","left","spotted","1","on","control",116.265,"red","flashing",116.265
"179","stationary_control_stop",7,"5","red","continuous","1","right","left","spotted","3","on","control",76.201,"red","continuous",76.201
"180","stationary_control_stop",7,"5","white","flashing","2","left","right","spotted","3","on","control",294.1,"white","flashing",294.1
"181","stationary_control_stop",7,"2","amber","flashing","2","left","right","spotted","4","on","control",74.3820000000001,"amber","flashing",74.3820000000001
"182","stationary_control_stop",7,"3","blue","flashing","2","right","left","spotted","4","on","control",226.004,"blue","flashing",226.004
"183","stationary_control_stop",7,"3","blue","continuous","1","left","right","blonde","6","on","control",248.173,"blue","continuous",248.173
"184","stationary_control_stop",7,"2","blue","continuous","2","left","right","blonde","7","on","control",282.783,"blue","continuous",282.783
"185","stationary_control_stop",7,"1","red","flashing","1","left","right","blonde","7","on","control",189.882,"red","flashing",189.882
"186","stationary_control_stop",7,"4","royalblue","continuous","2","left","right","blonde","7","on","control",287.399,"royalblue","continuous",287.399
"187","stationary_control_stop",7,"2","green","continuous","2","left","right","blonde","9","on","control",136.585,"green","continuous",136.585
"188","stationary_control_stop",7,"2","royalblue","continuous","2","right","left","smalleye","12","on","control",74.401,"royalblue","continuous",74.401
"189","stationary_control_stop",7,"3","green","continuous","1","right","left","smalleye","13","on","control",27.37,"green","continuous",27.37
"190","stationary_control_stop",7,"1","red","flashing","2","right","left","smalleye","13","on","control",97.259,"red","flashing",97.259
"191","stationary_control_stop",7,"2","white","continuous","1","left","right","smalleye","13","on","control",19.787,"white","continuous",19.787
"192","stationary_control_stop",7,"2","white","flashing","2","right","left","blonde","14","on","control",32.096,"white","flashing",32.096
"193","stationary_control_stop",7,"2","white","continuous","2","right","left","blonde","16","on","control",99.576,"white","continuous",99.576
"194","stationary_control_stop",7,"1","amber","continuous","2","right","left","spotted","21","on","control",150.032,"amber","continuous",150.032
"195","stationary_control_stop",7,"3","blue","continuous","2","right","left","spotted","21","on","control",28.934,"blue","continuous",28.934
"196","stationary_control_stop",7,"3","blue","flashing","1","right","left","spotted","21","on","control",43.694,"blue","flashing",43.694
"197","stationary_control_stop",7,"2","white","continuous","2","left","right","spotted","21","on","control",123.166,"white","continuous",123.166
"198","stationary_control_stop",7,"1","blue","flashing","2","left","right","blonde","25","on","control",46.8910000000001,"blue","flashing",46.8910000000001
"199","END",0,"6","amber","flashing","1","right","left","spotted","1","on","light",117.466,"amber","flashing",117.466
"200","END",0,"3","red","continuous","2","right","left","spotted","1","on","light",237.238,"red","continuous",237.238
"201","END",0,"4","red","flashing","1","right","left","spotted","1","on","light",90.201,"red","flashing",90.201
"202","END",0,"4","royalblue","continuous","2","left","right","spotted","1","on","light",260.601,"royalblue","continuous",260.601
"203","END",0,"1","white","continuous","1","left","right","spotted","1","on","light",300,"white","continuous",300
"204","END",0,"1","white","flashing","2","left","right","spotted","1","on","light",109.466,"white","flashing",109.466
"205","END",0,"2","royalblue","flashing","2","right","left","spotted","3","on","light",300,"royalblue","flashing",300
"206","END",0,"2","green","flashing","2","right","left","spotted","4","on","light",300,"green","flashing",300
"207","END",0,"5","amber","flashing","1","left","right","blonde","5","on","light",178.001,"amber","flashing",178.001
"208","END",0,"1","blue","continuous","2","right","left","blonde","5","on","light",300,"blue","continuous",300
"209","END",0,"3","blue","flashing","1","left","right","blonde","5","on","light",240.177,"blue","flashing",240.177
"210","END",0,"2","green","continuous","2","left","right","blonde","5","on","light",155.87,"green","continuous",155.87
"211","END",0,"1","red","continuous","2","left","right","blonde","6","on","light",115.334,"red","continuous",115.334
"212","END",0,"5","white","flashing","2","right","left","blonde","6","on","light",292.561,"white","flashing",292.561
"213","END",0,"1","amber","continuous","2","right","left","blonde","7","on","light",300,"amber","continuous",300
"214","END",0,"6","blue","flashing","1","right","left","blonde","7","on","light",300,"blue","flashing",300
"215","END",0,"6","green","continuous","2","left","right","blonde","7","on","light",91.987,"green","continuous",91.987
"216","END",0,"3","white","continuous","2","right","left","blonde","7","on","light",193.437,"white","continuous",193.437
"217","END",0,"1","green","flashing","2","right","left","blonde","8","on","light",207.501,"green","flashing",207.501
"218","END",0,"2","red","continuous","1","right","left","blonde","8","on","light",300,"red","continuous",300
"219","END",0,"2","royalblue","continuous","2","right","left","spotted","10","on","light",300,"royalblue","continuous",300
"220","END",0,"2","royalblue","continuous","2","right","left","smalleye","12","on","light",77.83,"royalblue","continuous",77.83
"221","END",0,"5","royalblue","flashing","1","left","right","smalleye","12","on","light",300,"royalblue","flashing",300
"222","END",0,"3","green","continuous","1","right","left","smalleye","13","on","light",157.931,"green","continuous",157.931
"223","END",0,"1","red","flashing","2","right","left","smalleye","13","on","light",31.266,"red","flashing",31.266
"224","END",0,"6","amber","continuous","1","right","left","blonde","14","on","light",94.183,"amber","continuous",94.183
"225","END",0,"4","amber","continuous","2","left","right","blonde","15","on","light",34.0069999999999,"amber","continuous",34.0069999999999
"226","END",0,"3","royalblue","continuous","2","right","left","blonde","15","on","light",300,"royalblue","continuous",300
"227","END",0,"2","red","flashing","2","right","left","blonde","16","on","light",189.734,"red","flashing",189.734
"228","END",0,"5","amber","continuous","2","right","left","blonde","19","on","light",51.058,"amber","continuous",51.058
"229","END",0,"1","blue","continuous","1","left","right","blonde","20","on","light",300,"blue","continuous",300
"230","END",0,"3","blue","continuous","2","right","left","spotted","21","on","light",160.622,"blue","continuous",160.622
"231","END",0,"1","royalblue","flashing","1","right","left","spotted","21","on","light",300,"royalblue","flashing",300
"232","END",0,"6","blue","continuous","2","left","right","spotted","23","on","light",300,"blue","continuous",300
"233","END",0,"3","white","continuous","2","right","left","spotted","23","on","light",214.153,"white","continuous",214.153
"234","END",0,"1","white","flashing","1","right","left","spotted","23","on","light",300,"white","flashing",300
"235","END",0,"2","amber","continuous","2","right","left","blonde","24","on","light",300,"amber","continuous",300
"236","END",0,"4","amber","flashing","2","right","left","blonde","25","on","light",300,"amber","flashing",300
"237","END",0,"5","royalblue","flashing","2","right","left","blonde","25","on","light",284.708,"royalblue","flashing",284.708
"238","stationary_light_stop",5,"6","amber","flashing","1","right","left","spotted","1","on","light",117.466,"amber","flashing",117.466
"239","stationary_light_stop",5,"3","blue","flashing","1","left","right","spotted","1","on","light",98.2319999999999,"blue","flashing",98.2319999999999
"240","stationary_light_stop",5,"3","red","continuous","2","right","left","spotted","1","on","light",237.238,"red","continuous",237.238
"241","stationary_light_stop",5,"4","royalblue","continuous","2","left","right","spotted","1","on","light",260.601,"royalblue","continuous",260.601
"242","stationary_light_stop",5,"1","white","flashing","2","left","right","spotted","1","on","light",109.466,"white","flashing",109.466
"243","stationary_light_stop",5,"2","amber","flashing","2","left","right","spotted","4","on","light",83.368,"amber","flashing",83.368
"244","stationary_light_stop",5,"1","royalblue","flashing","1","left","right","blonde","5","on","light",91.808,"royalblue","flashing",91.808
"245","stationary_light_stop",5,"2","white","continuous","1","right","left","blonde","6","on","light",33.799,"white","continuous",33.799
"246","stationary_light_stop",5,"2","amber","flashing","1","right","left","blonde","7","on","light",58.578,"amber","flashing",58.578
"247","stationary_light_stop",5,"1","green","flashing","2","right","left","blonde","8","on","light",207.501,"green","flashing",207.501
"248","stationary_light_stop",5,"1","amber","continuous","2","right","left","blonde","9","on","light",20.867,"amber","continuous",20.867
"249","stationary_light_stop",5,"1","amber","continuous","1","left","right","smalleye","12","on","light",59.499,"amber","continuous",59.499
"250","stationary_light_stop",5,"2","royalblue","continuous","2","right","left","smalleye","12","on","light",77.83,"royalblue","continuous",77.83
"251","stationary_light_stop",5,"1","red","continuous","1","right","left","smalleye","13","on","light",104.167,"red","continuous",104.167
"252","stationary_light_stop",5,"2","white","continuous","1","left","right","smalleye","13","on","light",39.1740000000001,"white","continuous",39.1740000000001
"253","stationary_light_stop",5,"5","amber","continuous","2","right","left","blonde","19","on","light",51.058,"amber","continuous",51.058
"254","stationary_light_stop",5,"2","red","flashing","1","left","right","spotted","21","on","light",24.506,"red","flashing",24.506
"255","stationary_light_stop",5,"2","white","continuous","2","left","right","spotted","21","on","light",96.38,"white","continuous",96.38
"256","stationary_light_stop",5,"3","white","continuous","2","right","left","spotted","23","on","light",214.153,"white","continuous",214.153
"257","stationary_light_stop",5,"1","amber","continuous","1","right","left","blonde","25","on","light",42.183,"amber","continuous",42.183
"258","stationary_light_stop",5,"1","red","flashing","2","right","left","blonde","25","on","light",96.8360000000001,"red","flashing",96.8360000000001
"259","stationary_light_stop",5,"5","royalblue","flashing","2","right","left","blonde","25","on","light",284.708,"royalblue","flashing",284.708
