"","time","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","trial_number","light_mode"
"68",263.984,"stationary_light",2,2,"white","continuous",2,"left","right",5,"off"
"69",273.366,"stationary_light_stop",6,2,"white","continuous",2,"left","right",5,"off"
"70",15.5,"stationary_light",2,6,"amber","flashing",1,"left","right",5,"off"
"71",99.336,"stationary_light_stop",6,6,"amber","flashing",1,"left","right",5,"off"
"72",134.835,"stationary_control",4,6,"amber","flashing",1,"left","right",5,"off"
"73",204.6,"stationary_control_stop",8,6,"amber","flashing",1,"left","right",5,"off"
"74",229.6,"stationary_control",4,6,"amber","flashing",1,"left","right",5,"off"
"75",243.003,"stationary_control_stop",8,6,"amber","flashing",1,"left","right",5,"off"
"78",15.77,"stationary_light",2,1,"blue","flashing",1,"right","left",5,"off"
"79",82.967,"stationary_light_stop",6,1,"blue","flashing",1,"right","left",5,"off"
"84",15.469,"stationary_light",2,4,"green","flashing",1,"left","right",5,"off"
"85",197.535,"stationary_light_stop",5,4,"green","flashing",1,"left","right",5,"off"
"87",269.267,"stationary_control",4,4,"green","flashing",1,"left","right",5,"off"
"88",15.999,"stationary_control",4,5,"red","flashing",1,"right","left",5,"off"
"89",166.935,"stationary_control_stop",8,5,"red","flashing",1,"right","left",5,"off"
"91",15.1,"stationary_light",2,3,"blue","continuous",1,"left","right",8,"off"
"92",15.4,"stationary_light",2,1,"green","continuous",1,"left","right",8,"off"
"93",213.867,"stationary_light_stop",6,1,"green","continuous",1,"left","right",8,"off"
"99",15.467,"stationary_control",4,6,"red","continuous",1,"right","left",8,"off"
"106",15.167,"stationary_light",2,5,"white","continuous",1,"left","right",8,"off"
"107",15.434,"stationary_control",4,2,"blue","continuous",1,"right","left",10,"off"
"108",42.567,"stationary_control_stop",8,2,"blue","continuous",1,"right","left",10,"off"
"115",15.599,"stationary_control",4,1,"green","continuous",1,"left","right",10,"off"
"116",146.899,"stationary_control_stop",8,1,"green","continuous",1,"left","right",10,"off"
"121",15.267,"stationary_control",4,2,"green","flashing",2,"right","left",10,"off"
"122",152.934,"stationary_control_stop",8,2,"green","flashing",2,"right","left",10,"off"
"126",15.567,"stationary_control",4,1,"red","flashing",2,"left","right",10,"off"
"127",212.233,"stationary_control_stop",8,1,"red","flashing",2,"left","right",10,"off"
"130",15.567,"stationary_control",4,1,"amber","continuous",1,"right","left",13,"off"
"131",198.666,"stationary_control_stop",8,1,"amber","continuous",1,"right","left",13,"off"
"132",222.733,"stationary_light",2,1,"amber","continuous",1,"right","left",13,"off"
"133",230.7,"stationary_light_stop",6,1,"amber","continuous",1,"right","left",13,"off"
"134",254.334,"stationary_light",2,1,"amber","continuous",1,"right","left",13,"off"
"140",251.067,"stationary_control",4,4,"blue","continuous",1,"left","right",13,"off"
"141",292.934,"stationary_control_stop",8,4,"blue","continuous",1,"left","right",13,"off"
"142",15.434,"stationary_control",4,2,"green","continuous",1,"left","right",13,"off"
"143",15.433,"stationary_light",2,6,"red","continuous",1,"right","left",13,"off"
"144",15.434,"stationary_control",4,3,"royalblue","continuous",1,"right","left",13,"off"
"145",77.333,"stationary_control_stop",8,3,"royalblue","continuous",1,"right","left",13,"off"
"147",101.4,"stationary_control",4,3,"royalblue","continuous",1,"right","left",13,"off"
"148",105.934,"stationary_control_stop",8,3,"royalblue","continuous",1,"right","left",13,"off"
"151",232.532,"stationary_control",4,3,"royalblue","continuous",1,"right","left",13,"off"
"152",259.467,"stationary_control_stop",8,3,"royalblue","continuous",1,"right","left",13,"off"
"153",290.055,"stationary_light",2,3,"royalblue","continuous",1,"right","left",13,"off"
"154",15.433,"stationary_light",2,6,"white","continuous",1,"left","right",13,"off"
"155",111,"stationary_light_stop",6,6,"white","continuous",1,"left","right",13,"off"
"160",249.233,"stationary_control",4,6,"white","continuous",1,"left","right",13,"off"
"161",322.7,"stationary_control_stop",8,6,"white","continuous",1,"left","right",13,"off"
"162",15.233,"stationary_control",4,1,"blue","flashing",2,"right","left",13,"off"
"163",135.266,"stationary_control_stop",8,1,"blue","flashing",2,"right","left",13,"off"
"165",220.699,"stationary_control",4,1,"blue","flashing",2,"right","left",13,"off"
"171",293.7,"stationary_light",2,2,"red","flashing",2,"left","right",13,"off"
"172",324.801,"stationary_light_stop",5,2,"blue","continuous",2,"left","right",3,"on"
"180",316.567,"stationary_control",3,1,"red","continuous",2,"right","left",3,"on"
"181",323.8,"stationary_control_stop",7,1,"red","continuous",2,"right","left",3,"on"
