,time,code,class,light_order,light_colour,light_type,type_order,light_side,control_side,species,trial_number,wing_length,mls,light_mode,control_light,LightFact,TypeFact,total_new
201,600.446,END,0,6,red,flashing,2,left,right,blonde,6,15.871,under,on,control,red,flashing,300
202,600.436,END,0,4,royalblue,flashing,1,right,left,blonde,7,22.092,under,on,light,royalblue,flashing,300
203,600.601,END,0,5,white,flashing,1,left,right,blonde,7,22.092,under,on,control,white,flashing,300
204,600.434,END,0,6,amber,continuous,1,right,left,blonde,8,23.02,under,on,control,amber,continuous,300
205,600.434,END,0,3,blue,continuous,1,left,right,blonde,8,23.02,under,on,light,blue,continuous,300
206,600.434,END,0,4,royalblue,continuous,1,right,left,blonde,8,23.02,under,on,control,royalblue,continuous,300
207,600.434,END,0,5,white,continuous,1,left,right,blonde,8,23.02,under,on,light,white,continuous,300
208,600.566,END,0,5,blue,flashing,2,right,left,blonde,8,23.02,under,on,control,blue,flashing,300
209,600.168,END,0,4,red,flashing,2,left,right,blonde,8,23.02,under,on,light,red,flashing,300
210,600.133,END,0,6,white,flashing,2,left,right,blonde,8,23.02,under,on,light,white,flashing,300
211,600,END,0,4,blue,continuous,2,left,right,blonde,9,22.637,under,on,control,blue,continuous,300
212,600,END,0,3,red,continuous,2,right,left,blonde,9,22.637,under,on,light,red,continuous,300
213,600,END,0,5,royalblue,continuous,2,right,left,blonde,9,22.637,under,on,light,royalblue,continuous,300
214,600,END,0,6,white,continuous,2,left,right,blonde,9,22.637,under,on,control,white,continuous,300
215,600,END,0,4,amber,flashing,1,right,left,blonde,9,22.637,under,on,control,amber,flashing,300
216,600,END,0,3,blue,flashing,1,left,right,blonde,9,22.637,under,on,light,blue,flashing,300
217,600,END,0,5,green,flashing,1,left,right,blonde,9,22.637,under,on,light,green,flashing,300
218,600,END,0,6,red,flashing,1,right,left,blonde,9,22.637,under,on,control,red,flashing,300
219,600,END,0,1,royalblue,flashing,1,left,right,blonde,9,22.637,under,on,light,royalblue,flashing,300
220,600,END,0,2,white,flashing,1,right,left,blonde,9,22.637,under,on,control,white,flashing,300
221,601,END,0,5,amber,continuous,2,left,right,spotted,10,33.765,under,on,light,amber,continuous,300
222,601,END,0,3,blue,continuous,2,left,right,spotted,10,33.765,under,on,light,blue,continuous,300
223,599.399,END,0,4,red,continuous,2,right,left,spotted,10,33.765,under,on,control,red,continuous,300
224,600.836,END,0,6,white,continuous,2,right,left,spotted,10,33.765,under,on,control,white,continuous,300
225,600,END,0,3,red,flashing,1,right,left,spotted,10,33.765,under,on,light,red,flashing,300
226,600.299,END,0,4,royalblue,flashing,1,left,right,spotted,10,33.765,under,on,control,royalblue,flashing,300
227,600,END,0,1,amber,continuous,1,right,left,spotted,11,38.35,under,on,control,amber,continuous,300
228,600,END,0,4,blue,continuous,1,left,right,spotted,11,38.35,under,on,light,blue,continuous,300
229,600,END,0,2,green,continuous,1,left,right,spotted,11,38.35,under,on,light,green,continuous,300
230,600,END,0,3,red,continuous,1,right,left,spotted,11,38.35,under,on,control,red,continuous,300
231,600,END,0,6,royalblue,continuous,1,left,right,spotted,11,38.35,under,on,light,royalblue,continuous,300
232,600,END,0,5,white,continuous,1,right,left,spotted,11,38.35,under,on,control,white,continuous,300
233,600,END,0,2,amber,flashing,2,right,left,spotted,11,38.35,under,on,control,amber,flashing,300
234,600,END,0,6,blue,flashing,2,right,left,spotted,11,38.35,under,on,control,blue,flashing,300
235,600,END,0,3,green,flashing,2,left,right,spotted,11,38.35,under,on,light,green,flashing,300
236,600,END,0,1,red,flashing,2,left,right,spotted,11,38.35,under,on,light,red,flashing,300
