"","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","wing_length","mls","light_mode","control_light","sum(total2)","LightFact","TypeFact","total_new"
"74","MIDDLE",1,"2","red","continuous","1","right","left","blonde","8",23.02,"under","off","light",11.403,"off","off",11.403
"75","MIDDLE",6,"1","amber","continuous","2","right","left","blonde","9",22.637,"under","off","light",233.105,"off","off",233.105
"76","MIDDLE",1,"2","royalblue","continuous","2","right","left","spotted","10",33.765,"under","off","light",3.267,"off","off",3.267
"77","MIDDLE",2,"5","royalblue","flashing","1","left","right","smalleye","12",42.69,"under","off","light",195.7,"off","off",195.7
"78","MIDDLE",2,"1","red","continuous","1","right","left","smalleye","13",41.709,"under","off","light",162.781,"off","off",162.781
"79","MIDDLE",2,"3","royalblue","continuous","2","right","left","blonde","15",18.886,"under","off","light",97.105,"off","off",97.105
"80","MIDDLE",2,"1","blue","continuous","1","left","right","blonde","20",27.627,"under","off","light",217.921,"off","off",217.921
"81","MIDDLE",2,"2","red","flashing","1","left","right","spotted","21",31.901,"under","off","light",300,"off","off",300
"82","MIDDLE",2,"4","white","flashing","1","left","right","spotted","21",31.901,"under","off","light",255.65,"off","off",255.65
"83","MIDDLE",2,"3","white","continuous","2","right","left","spotted","23",48.91,"over","off","light",300,"off","off",300
"84","MIDDLE",2,"1","white","flashing","1","right","left","spotted","23",48.91,"over","off","light",39.317,"off","off",39.317
"85","MIDDLE",2,"2","amber","continuous","2","right","left","blonde","24",24.916,"under","off","light",133.289,"off","off",133.289
"86","MIDDLE",2,"4","amber","flashing","2","right","left","blonde","25",28.174,"under","off","light",77.557,"off","off",77.557
"87","MIDDLE",2,"5","royalblue","flashing","2","right","left","blonde","25",28.174,"under","off","light",300,"off","off",300
"88","stationary_light_stop",6,"6","amber","continuous","2","left","right","spotted","1",47.792,"over","off","light",51.333,"off","off",51.333
"89","stationary_light_stop",6,"6","amber","flashing","1","right","left","spotted","1",47.792,"over","off","light",228.534,"off","off",228.534
"90","stationary_light_stop",6,"3","blue","flashing","1","left","right","spotted","1",47.792,"over","off","light",224.634,"off","off",224.634
"91","stationary_light_stop",6,"3","red","continuous","2","right","left","spotted","1",47.792,"over","off","light",36.901,"off","off",36.901
"92","stationary_light_stop",6,"1","white","flashing","2","left","right","spotted","1",47.792,"over","off","light",36.586,"off","off",36.586
"93","stationary_light_stop",6,"5","royalblue","flashing","1","right","left","spotted","2",33.627,"under","off","light",26.801,"off","off",26.801
"94","stationary_light_stop",6,"5","red","continuous","1","right","left","spotted","3",37.201,"under","off","light",173.366,"off","off",173.366
"95","stationary_light_stop",6,"4","red","flashing","2","right","left","spotted","3",37.201,"under","off","light",175,"off","off",175
"96","stationary_light_stop",6,"3","blue","flashing","2","right","left","spotted","4",32.184,"under","off","light",160.049,"off","off",160.049
"97","stationary_light_stop",6,"5","amber","flashing","1","left","right","blonde","5",53.026,"over","off","light",290.318,"off","off",290.318
"98","stationary_light_stop",6,"3","blue","flashing","1","left","right","blonde","5",53.026,"over","off","light",17.934,"off","off",17.934
"99","stationary_light_stop",6,"2","white","continuous","1","right","left","blonde","6",15.871,"under","off","light",55.128,"off","off",55.128
"100","stationary_light_stop",6,"2","amber","flashing","1","right","left","blonde","7",22.092,"under","off","light",109.002,"off","off",109.002
"101","stationary_light_stop",6,"5","red","continuous","2","right","left","blonde","7",22.092,"under","off","light",135.817,"off","off",135.817
"102","stationary_light_stop",6,"1","red","flashing","1","left","right","blonde","7",22.092,"under","off","light",84.267,"off","off",84.267
"103","stationary_light_stop",6,"3","white","continuous","2","right","left","blonde","7",22.092,"under","off","light",86.695,"off","off",86.695
"104","stationary_light_stop",6,"5","blue","flashing","1","right","left","spotted","10",33.765,"under","off","light",104.934,"off","off",104.934
"105","stationary_light_stop",6,"1","amber","continuous","1","left","right","smalleye","12",42.69,"under","off","light",23.202,"off","off",23.202
"106","stationary_light_stop",6,"6","blue","continuous","2","right","left","smalleye","12",42.69,"under","off","light",63.47,"off","off",63.47
"107","stationary_light_stop",6,"2","royalblue","continuous","2","right","left","smalleye","12",42.69,"under","off","light",20.697,"off","off",20.697
"108","stationary_light_stop",6,"1","red","flashing","2","right","left","smalleye","13",41.709,"under","off","light",39.986,"off","off",39.986
"109","stationary_light_stop",6,"4","red","continuous","1","right","left","blonde","14",19.584,"under","off","light",91.297,"off","off",91.297
"110","stationary_light_stop",6,"3","royalblue","flashing","2","left","right","blonde","14",19.584,"under","off","light",166.61,"off","off",166.61
"111","stationary_light_stop",6,"2","red","flashing","2","right","left","blonde","16",16.53,"under","off","light",113.727,"off","off",113.727
"112","stationary_light_stop",6,"2","white","continuous","2","right","left","blonde","16",16.53,"under","off","light",151.056,"off","off",151.056
"113","stationary_light_stop",6,"4","amber","flashing","2","left","right","blonde","19",28.603,"under","off","light",95.266,"off","off",95.266
"114","stationary_light_stop",6,"1","red","flashing","2","left","right","blonde","20",27.627,"under","off","light",27.013,"off","off",27.013
"115","stationary_light_stop",6,"3","blue","flashing","1","right","left","spotted","21",31.901,"under","off","light",33.96,"off","off",33.96
"116","stationary_light_stop",6,"1","amber","continuous","1","right","left","blonde","25",28.174,"under","off","light",125.829,"off","off",125.829
"117","END",0,"5","blue","continuous","2","right","left","spotted","1",47.792,"over","on","control",300,"blue","continuous",300
"118","END",0,"3","blue","flashing","1","left","right","spotted","1",47.792,"over","on","control",19.9,"blue","flashing",19.9
"119","END",0,"2","green","continuous","1","right","left","spotted","1",47.792,"over","on","control",149.835,"green","continuous",149.835
"120","END",0,"5","royalblue","flashing","1","left","right","spotted","1",47.792,"over","on","control",300,"royalblue","flashing",300
"121","END",0,"3","green","flashing","2","left","right","spotted","3",37.201,"under","on","control",90.5,"green","flashing",90.5
"122","END",0,"6","white","continuous","1","left","right","spotted","3",37.201,"under","on","control",300,"white","continuous",300
"123","END",0,"5","white","flashing","2","left","right","spotted","3",37.201,"under","on","control",294.1,"white","flashing",294.1
"124","END",0,"3","blue","flashing","2","right","left","spotted","4",32.184,"under","on","control",226.004,"blue","flashing",226.004
"125","END",0,"1","royalblue","continuous","1","left","right","spotted","4",32.184,"under","on","control",300,"royalblue","continuous",300
"126","END",0,"2","white","flashing","2","right","left","blonde","5",53.026,"over","on","control",300,"white","flashing",300
"127","END",0,"3","blue","continuous","1","left","right","blonde","6",15.871,"under","on","control",248.173,"blue","continuous",248.173
"128","END",0,"2","blue","continuous","2","left","right","blonde","7",22.092,"under","on","control",282.783,"blue","continuous",282.783
"129","END",0,"4","green","flashing","1","left","right","blonde","7",22.092,"under","on","control",300,"green","flashing",300
