"","time","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","wing_length","mls","light_mode"
"2510",293.7,"stationary_light_stop",6,"5","amber","flashing",1,"left","right","blonde","5",53.026,"over","off"
"292",15.3,"stationary_light",2,"3","blue","flashing",1,"left","right","blonde","5",53.026,"over","off"
"301",17.934,"stationary_light_stop",6,"3","blue","flashing",1,"left","right","blonde","5",53.026,"over","off"
"381",15.666,"stationary_control",4,"6","green","flashing",1,"left","right","blonde","5",53.026,"over","off"
"401",15.3,"stationary_control",4,"4","red","flashing",1,"right","left","blonde","5",53.026,"over","off"
"421",54.225,"stationary_light",2,"1","royalblue","flashing",1,"left","right","blonde","5",53.026,"over","off"
"491",123,"stationary_control",4,"2","white","flashing",2,"right","left","blonde","5",53.026,"over","off"
"1101",15.4,"stationary_light",2,"4","amber","continuous",1,"right","left","blonde","6",15.871,"under","off"
"410",164.372,"stationary_control",4,"3","blue","continuous",1,"left","right","blonde","6",15.871,"under","off"
"810",15.733,"stationary_light",2,"6","green","continuous",1,"right","left","blonde","6",15.871,"under","off"
"1911",15.433,"stationary_control",4,"5","royalblue","continuous",1,"left","right","blonde","6",15.871,"under","off"
"2111",170.005,"stationary_light",2,"2","white","continuous",1,"right","left","blonde","6",15.871,"under","off"
"2211",210.133,"stationary_light_stop",6,"2","white","continuous",1,"right","left","blonde","6",15.871,"under","off"
"611",15.239,"stationary_control",4,"6","red","flashing",2,"left","right","blonde","6",15.871,"under","off"
"314",179.1,"stationary_light",2,"1","amber","continuous",2,"right","left","blonde","7",22.092,"under","off"
"713",291.609,"stationary_control",4,"2","blue","continuous",2,"left","right","blonde","7",22.092,"under","off"
"1112",234.44,"stationary_control",4,"6","green","continuous",2,"left","right","blonde","7",22.092,"under","off"
"1212",262.199,"stationary_control_stop",6,"6","green","continuous",2,"left","right","blonde","7",22.092,"under","off"
"1612",26.418,"stationary_light",2,"5","red","continuous",2,"right","left","blonde","7",22.092,"under","off"
"1712",147.235,"stationary_light_stop",6,"5","red","continuous",2,"right","left","blonde","7",22.092,"under","off"
"2112",15.767,"stationary_control",4,"4","royalblue","continuous",2,"left","right","blonde","7",22.092,"under","off"
"2412",15.399,"stationary_light",2,"3","white","continuous",2,"right","left","blonde","7",22.092,"under","off"
"2512",47.134,"stationary_light_stop",6,"3","white","continuous",2,"right","left","blonde","7",22.092,"under","off"
"2612",188.072,"stationary_light",2,"3","white","continuous",2,"right","left","blonde","7",22.092,"under","off"
"2712",212.633,"stationary_light_stop",6,"3","white","continuous",2,"right","left","blonde","7",22.092,"under","off"
"323",15.333,"stationary_light",2,"2","amber","flashing",1,"right","left","blonde","7",22.092,"under","off"
"333",109.002,"stationary_light_stop",6,"2","amber","flashing",1,"right","left","blonde","7",22.092,"under","off"
"393",15.969,"stationary_light",2,"6","blue","flashing",1,"right","left","blonde","7",22.092,"under","off"
"403",119.843,"stationary_light_stop",6,"6","blue","flashing",1,"right","left","blonde","7",22.092,"under","off"
"414",143.666,"stationary_light",2,"6","blue","flashing",1,"right","left","blonde","7",22.092,"under","off"
"443",42.426,"stationary_control",4,"4","green","flashing",1,"left","right","blonde","7",22.092,"under","off"
