"","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","wing_length","mls","light_mode","control_light","LightFact","TypeFact","total_new"
"118","stationary_light",2,"5","royalblue","continuous","1","left","right","blonde","20",27.627,"under","off","light","off","off",300
"119","stationary_light",2,"3","white","continuous","1","left","right","blonde","20",27.627,"under","off","light","off","off",300
"120","stationary_light",2,"2","amber","flashing","2","right","left","blonde","20",27.627,"under","off","light","off","off",300
"121","stationary_light",2,"5","green","flashing","2","right","left","blonde","20",27.627,"under","off","light","off","off",300
"122","stationary_control",4,"6","royalblue","flashing","2","left","right","blonde","20",27.627,"under","off","control","off","off",300
"123","stationary_light",2,"5","green","continuous","2","right","left","spotted","21",31.901,"under","off","light","off","off",300
"124","stationary_control",4,"6","red","continuous","2","left","right","spotted","21",31.901,"under","off","control","off","off",300
"125","stationary_control",4,"4","royalblue","continuous","2","left","right","spotted","21",31.901,"under","off","control","off","off",300
"126","stationary_light",2,"6","amber","flashing","1","left","right","spotted","21",31.901,"under","off","light","off","off",300
"127","stationary_light",2,"5","amber","continuous","1","left","right","spotted","22",29.018,"under","off","light","off","off",300
"128","stationary_control",4,"4","blue","continuous","1","right","left","spotted","22",29.018,"under","off","control","off","off",300
"129","stationary_light",2,"1","green","continuous","1","left","right","spotted","22",29.018,"under","off","light","off","off",300
"130","stationary_control",4,"6","red","continuous","1","right","left","spotted","22",29.018,"under","off","control","off","off",300
"131","stationary_control",4,"2","royalblue","continuous","1","right","left","spotted","22",29.018,"under","off","control","off","off",300
"132","stationary_light",2,"3","white","continuous","1","left","right","spotted","22",29.018,"under","off","light","off","off",300
"133","stationary_control",4,"4","amber","flashing","2","right","left","spotted","22",29.018,"under","off","control","off","off",300
"134","stationary_light",2,"5","blue","flashing","2","left","right","spotted","22",29.018,"under","off","light","off","off",300
"135","stationary_control",4,"2","green","flashing","2","right","left","spotted","22",29.018,"under","off","control","off","off",300
"136","stationary_control",4,"6","red","flashing","2","right","left","spotted","22",29.018,"under","off","control","off","off",300
"137","stationary_light",2,"3","royalblue","flashing","2","left","right","spotted","22",29.018,"under","off","light","off","off",300
"138","stationary_light",2,"1","white","flashing","2","left","right","spotted","22",29.018,"under","off","light","off","off",300
"139","stationary_light",2,"1","green","continuous","2","right","left","spotted","23",48.91,"over","off","light","off","off",300
"140","stationary_light",2,"5","red","continuous","2","right","left","spotted","23",48.91,"over","off","light","off","off",300
"141","stationary_control",4,"2","royalblue","continuous","2","left","right","spotted","23",48.91,"over","off","control","off","off",300
"142","stationary_control",4,"6","amber","flashing","1","left","right","spotted","23",48.91,"over","off","control","off","off",300
"143","stationary_control",4,"4","blue","flashing","1","left","right","spotted","23",48.91,"over","off","control","off","off",300
"144","stationary_light",2,"5","green","flashing","1","right","left","spotted","23",48.91,"over","off","light","off","off",300
"145","stationary_light",2,"3","red","flashing","1","right","left","spotted","23",48.91,"over","off","light","off","off",300
"146","stationary_control",4,"2","royalblue","flashing","1","left","right","spotted","23",48.91,"over","off","control","off","off",300
"147","stationary_light",2,"4","royalblue","continuous","2","right","left","blonde","24",24.916,"under","off","light","off","off",300
"148","stationary_light",2,"6","red","flashing","1","right","left","blonde","24",24.916,"under","off","light","off","off",300
"149","stationary_light",2,"4","royalblue","flashing","1","right","left","blonde","24",24.916,"under","off","light","off","off",300
"150","stationary_light",2,"2","blue","continuous","1","left","right","blonde","25",28.174,"under","off","light","off","off",300
"151","stationary_control",4,"3","green","continuous","1","right","left","blonde","25",28.174,"under","off","control","off","off",300
"152","stationary_light",2,"6","red","continuous","1","left","right","blonde","25",28.174,"under","off","light","off","off",300
"153","stationary_light",2,"4","royalblue","continuous","1","left","right","blonde","25",28.174,"under","off","light","off","off",300
"154","stationary_control",4,"5","white","continuous","1","right","left","blonde","25",28.174,"under","off","control","off","off",300
"155","stationary_control",4,"6","white","flashing","2","left","right","blonde","25",28.174,"under","off","control","off","off",300
"156","stationary_light",2,"6","amber","continuous","2","right","left","blonde","26",20.015,"under","off","light","off","off",300
"157","stationary_control",4,"3","blue","continuous","2","left","right","blonde","26",20.015,"under","off","control","off","off",300
"158","stationary_light",2,"2","green","continuous","2","right","left","blonde","26",20.015,"under","off","light","off","off",300
"159","stationary_control",4,"5","red","continuous","2","left","right","blonde","26",20.015,"under","off","control","off","off",300
"160","stationary_light",2,"4","royalblue","continuous","2","right","left","blonde","26",20.015,"under","off","light","off","off",300
"161","stationary_light",2,"6","amber","flashing","1","right","left","blonde","26",20.015,"under","off","light","off","off",300
"162","stationary_light",2,"2","green","flashing","1","right","left","blonde","26",20.015,"under","off","light","off","off",300
"163","stationary_control",4,"3","red","flashing","1","left","right","blonde","26",20.015,"under","off","control","off","off",300
"164","stationary_light",2,"4","royalblue","flashing","1","right","left","blonde","26",20.015,"under","off","light","off","off",300
"165","stationary_control",4,"5","white","flashing","1","left","right","blonde","26",20.015,"under","off","control","off","off",300
"166","stationary_light",2,"4","amber","continuous","2","left","right","spotted","27",24.797,"under","off","light","off","off",300
"167","stationary_control",4,"3","blue","continuous","2","right","left","spotted","27",24.797,"under","off","control","off","off",300
"168","stationary_light",2,"6","green","continuous","2","left","right","spotted","27",24.797,"under","off","light","off","off",300
"169","stationary_control",4,"1","red","continuous","2","right","left","spotted","27",24.797,"under","off","control","off","off",300
"170","stationary_light",2,"2","royalblue","continuous","2","left","right","spotted","27",24.797,"under","off","light","off","off",300
"171","stationary_control",4,"5","white","continuous","2","right","left","spotted","27",24.797,"under","off","control","off","off",300
"172","stationary_light",2,"3","amber","flashing","1","right","left","spotted","27",24.797,"under","off","light","off","off",300
"173","stationary_control",4,"6","blue","flashing","1","left","right","spotted","27",24.797,"under","off","control","off","off",300
"174","stationary_control",4,"4","green","flashing","1","left","right","spotted","27",24.797,"under","off","control","off","off",300
"175","stationary_light",2,"5","red","flashing","1","right","left","spotted","27",24.797,"under","off","light","off","off",300
"176","stationary_light",2,"1","royalblue","flashing","1","right","left","spotted","27",24.797,"under","off","light","off","off",300
"177","stationary_control",4,"2","white","flashing","1","left","right","spotted","27",24.797,"under","off","control","off","off",300
"178","END",0,"1","amber","continuous","2","left","right","spotted","2",33.627,"under","on","control","amber","continuous",300
"179","END",0,"1","amber","continuous","1","right","left","spotted","3",37.201,"under","on","light","amber","continuous",300
"180","END",0,"3","blue","continuous","1","right","left","spotted","3",37.201,"under","on","light","blue","continuous",300
"181","END",0,"2","green","continuous","1","left","right","spotted","3",37.201,"under","on","control","green","continuous",300
"182","END",0,"4","royalblue","continuous","1","left","right","spotted","3",37.201,"under","on","control","royalblue","continuous",300
"183","END",0,"6","blue","flashing","2","right","left","spotted","3",37.201,"under","on","light","blue","flashing",300
"184","END",0,"2","amber","continuous","1","right","left","spotted","4",32.184,"under","on","light","amber","continuous",300
"185","END",0,"3","blue","continuous","1","left","right","spotted","4",32.184,"under","on","control","blue","continuous",300
"186","END",0,"5","green","continuous","1","left","right","spotted","4",32.184,"under","on","control","green","continuous",300
"187","END",0,"6","red","continuous","1","right","left","spotted","4",32.184,"under","on","light","red","continuous",300
"188","END",0,"4","white","continuous","1","right","left","spotted","4",32.184,"under","on","light","white","continuous",300
"189","END",0,"6","red","flashing","2","left","right","spotted","4",32.184,"under","on","light","red","flashing",300
"190","END",0,"5","royalblue","flashing","2","right","left","spotted","4",32.184,"under","on","control","royalblue","flashing",300
"191","END",0,"4","white","flashing","2","left","right","spotted","4",32.184,"under","on","light","white","flashing",300
"192","END",0,"4","amber","continuous","2","left","right","blonde","5",53.026,"over","on","light","amber","continuous",300
"193","END",0,"2","red","continuous","2","right","left","blonde","5",53.026,"over","on","control","red","continuous",300
"194","END",0,"5","royalblue","continuous","2","right","left","blonde","5",53.026,"over","on","control","royalblue","continuous",300
"195","END",0,"6","white","continuous","2","left","right","blonde","5",53.026,"over","on","light","white","continuous",300
"196","END",0,"6","green","flashing","1","left","right","blonde","5",53.026,"over","on","control","green","flashing",300
"197","END",0,"4","red","flashing","1","right","left","blonde","5",53.026,"over","on","control","red","flashing",300
"198","END",0,"4","amber","continuous","1","right","left","blonde","6",15.871,"under","on","light","amber","continuous",300
"199","END",0,"6","green","continuous","1","right","left","blonde","6",15.871,"under","on","light","green","continuous",300
"200","END",0,"5","royalblue","continuous","1","left","right","blonde","6",15.871,"under","on","control","royalblue","continuous",300
"201","END",0,"6","red","flashing","2","left","right","blonde","6",15.871,"under","on","control","red","flashing",300
"202","END",0,"4","royalblue","flashing","1","right","left","blonde","7",22.092,"under","on","light","royalblue","flashing",300
"203","END",0,"5","white","flashing","1","left","right","blonde","7",22.092,"under","on","control","white","flashing",300
"204","END",0,"6","amber","continuous","1","right","left","blonde","8",23.02,"under","on","control","amber","continuous",300
"205","END",0,"3","blue","continuous","1","left","right","blonde","8",23.02,"under","on","light","blue","continuous",300
"206","END",0,"4","royalblue","continuous","1","right","left","blonde","8",23.02,"under","on","control","royalblue","continuous",300
"207","END",0,"5","white","continuous","1","left","right","blonde","8",23.02,"under","on","light","white","continuous",300
"208","END",0,"5","blue","flashing","2","right","left","blonde","8",23.02,"under","on","control","blue","flashing",300
"209","END",0,"4","red","flashing","2","left","right","blonde","8",23.02,"under","on","light","red","flashing",300
"210","END",0,"6","white","flashing","2","left","right","blonde","8",23.02,"under","on","light","white","flashing",300
"211","END",0,"4","blue","continuous","2","left","right","blonde","9",22.637,"under","on","control","blue","continuous",300
"212","END",0,"3","red","continuous","2","right","left","blonde","9",22.637,"under","on","light","red","continuous",300
"213","END",0,"5","royalblue","continuous","2","right","left","blonde","9",22.637,"under","on","light","royalblue","continuous",300
"214","END",0,"6","white","continuous","2","left","right","blonde","9",22.637,"under","on","control","white","continuous",300
"215","END",0,"4","amber","flashing","1","right","left","blonde","9",22.637,"under","on","control","amber","flashing",300
"216","END",0,"3","blue","flashing","1","left","right","blonde","9",22.637,"under","on","light","blue","flashing",300
"217","END",0,"5","green","flashing","1","left","right","blonde","9",22.637,"under","on","light","green","flashing",300
"218","END",0,"6","red","flashing","1","right","left","blonde","9",22.637,"under","on","control","red","flashing",300
"219","END",0,"1","royalblue","flashing","1","left","right","blonde","9",22.637,"under","on","light","royalblue","flashing",300
"220","END",0,"2","white","flashing","1","right","left","blonde","9",22.637,"under","on","control","white","flashing",300
"221","END",0,"5","amber","continuous","2","left","right","spotted","10",33.765,"under","on","light","amber","continuous",300
"222","END",0,"3","blue","continuous","2","left","right","spotted","10",33.765,"under","on","light","blue","continuous",300
"223","END",0,"4","red","continuous","2","right","left","spotted","10",33.765,"under","on","control","red","continuous",300
"224","END",0,"6","white","continuous","2","right","left","spotted","10",33.765,"under","on","control","white","continuous",300
"225","END",0,"3","red","flashing","1","right","left","spotted","10",33.765,"under","on","light","red","flashing",300
"226","END",0,"4","royalblue","flashing","1","left","right","spotted","10",33.765,"under","on","control","royalblue","flashing",300
"227","END",0,"1","amber","continuous","1","right","left","spotted","11",38.35,"under","on","control","amber","continuous",300
"228","END",0,"4","blue","continuous","1","left","right","spotted","11",38.35,"under","on","light","blue","continuous",300
"229","END",0,"2","green","continuous","1","left","right","spotted","11",38.35,"under","on","light","green","continuous",300
"230","END",0,"3","red","continuous","1","right","left","spotted","11",38.35,"under","on","control","red","continuous",300
"231","END",0,"6","royalblue","continuous","1","left","right","spotted","11",38.35,"under","on","light","royalblue","continuous",300
"232","END",0,"5","white","continuous","1","right","left","spotted","11",38.35,"under","on","control","white","continuous",300
"233","END",0,"2","amber","flashing","2","right","left","spotted","11",38.35,"under","on","control","amber","flashing",300
"234","END",0,"6","blue","flashing","2","right","left","spotted","11",38.35,"under","on","control","blue","flashing",300
"235","END",0,"3","green","flashing","2","left","right","spotted","11",38.35,"under","on","light","green","flashing",300
"236","END",0,"1","red","flashing","2","left","right","spotted","11",38.35,"under","on","light","red","flashing",300
"237","END",0,"3","royalblue","flashing","2","left","right","spotted","11",38.35,"under","on","light","royalblue","flashing",300
"238","END",0,"4","white","flashing","2","right","left","spotted","11",38.35,"under","on","control","white","flashing",300
